folio,efectivo,tarjeta,total,facturado
9968,160.0,0.0,160.0,False
9969,454.0,0.0,454.0,False
9977,218.0,0.0,218.0,False
9981,400.0,0.0,400.0,False
9982,140.0,0.0,140.0,False
9983,294.0,0.0,294.0,False
9984,368.0,0.0,368.0,False
9986,354.0,0.0,354.0,False
9987,311.0,0.0,311.0,False
9990,593.0,0.0,593.0,False
10000,239.0,0.0,239.0,False
10004,553.0,0.0,553.0,False
10008,156.0,0.0,156.0,False
10009,197.0,0.0,197.0,False
10016,431.0,0.0,431.0,False
10026,357.0,0.0,357.0,False
10028,315.0,0.0,315.0,False
10029,308.0,0.0,308.0,False
10034,174.0,0.0,174.0,False
10033,314.0,0.0,314.0,False
10035,682.0,0.0,682.0,False
10038,453.0,0.0,453.0,False
10039,348.0,0.0,348.0,False
10041,292.0,0.0,292.0,False
10042,363.0,0.0,363.0,False
10043,720.0,0.0,720.0,False
10048,369.0,0.0,369.0,False
10053,674.0,0.0,674.0,False
10059,456.0,0.0,456.0,False
10062,337.0,0.0,337.0,False
10065,371.0,0.0,371.0,False
10067,369.0,0.0,369.0,False
10070,614.0,0.0,614.0,False
10075,391.0,0.0,391.0,False
10084,130.0,0.0,130.0,False
10088,694.0,0.0,694.0,False
10089,484.0,0.0,484.0,False
10093,210.0,0.0,210.0,False
10094,383.0,0.0,383.0,False
10100,193.0,0.0,193.0,False
10101,407.0,0.0,407.0,False
10107,327.0,0.0,327.0,False
10105,600.0,0.0,600.0,False
10106,339.0,0.0,339.0,False
10108,316.0,0.0,316.0,False
10112,417.0,0.0,417.0,False
10113,576.0,0.0,576.0,False
10118,459.0,0.0,459.0,False
10117,246.0,0.0,246.0,False
10120,246.0,0.0,246.0,False
10121,315.0,0.0,315.0,False
10122,157.0,0.0,157.0,False
10123,283.0,0.0,283.0,False
10124,140.0,0.0,140.0,False
10126,386.0,0.0,386.0,False
10131,362.0,0.0,362.0,False
10133,482.0,0.0,482.0,False
10134,375.0,0.0,375.0,False
10137,356.0,0.0,356.0,False
10138,376.0,0.0,376.0,False
10139,140.0,0.0,140.0,False
10144,188.0,0.0,188.0,False
10148,233.0,0.0,233.0,False
10154,163.0,0.0,163.0,False
10156,310.0,0.0,310.0,False
10158,138.0,0.0,138.0,False
10163,213.0,0.0,213.0,False
