folio,efectivo,tarjeta,total,facturado
9851,488.0,0.0,488.0,False
9854,283.0,0.0,283.0,False
9852,0.0,345.0,345.0,True
9853,0.0,695.2,632.0,True
9855,36.0,0.0,36.0,False
9856,0.0,0.0,0.0,False
9857,6.0,0.0,6.0,False
9858,0.0,370.7,337.0,True
9859,0.0,319.7,278.0,True
9860,6.0,0.0,6.0,False
9861,243.0,193.0,436.0,True
9862,0.0,535.7,487.0,True
9863,0.0,522.5,475.0,True
9864,6.0,0.0,6.0,False
9865,12.0,0.0,12.0,False
9866,495.0,0.0,495.0,False
9867,0.0,909.7,827.0,True
9868,140.0,0.0,140.0,False
9869,1491.0,0.0,1491.0,False
9870,377.0,0.0,377.0,False
9871,365.0,0.0,365.0,False
9872,27.0,0.0,27.0,False
9873,6.0,0.0,6.0,False
9874,133.0,0.0,133.0,False
9875,8.0,0.0,8.0,False
9876,3.0,0.0,3.0,False
9877,0.0,451.0,410.0,True
9878,0.0,501.6,456.0,True
9879,0.0,460.9,419.0,True
9880,5.0,0.0,5.0,False
9881,0.0,587.4,534.0,True
9882,0.0,300.0,300.0,True
9883,0.0,240.9,219.0,True
9884,360.0,0.0,360.0,False
9885,236.0,0.0,236.0,False
9886,6.0,0.0,6.0,False
9887,722.0,0.0,722.0,False
9888,531.0,0.0,531.0,False
9889,0.0,845.9,769.0,True
9890,0.0,331.1,301.0,True
9891,431.0,0.0,431.0,False
9892,279.0,0.0,279.0,False
9895,0.0,403.0,403.0,True
9893,0.0,373.0,323.0,True
9894,0.0,320.1,291.0,True
9896,0.0,1048.3,953.0,True
9897,673.0,0.0,673.0,False
9898,0.0,399.3,363.0,True
9899,0.0,440.0,400.0,True
9900,0.0,311.3,283.0,True
9901,309.0,0.0,309.0,False
9902,0.0,489.5,445.0,True
9903,852.0,0.0,852.0,False
9904,330.0,0.0,330.0,False
9905,143.0,495.0,593.0,True
9906,560.0,0.0,560.0,False
9907,0.0,583.0,583.0,True
9909,0.0,192.5,175.0,True
9910,0.0,699.6,636.0,True
9908,581.0,0.0,581.0,False
9911,291.0,0.0,291.0,False
9912,0.0,126.0,126.0,True
9913,256.0,0.0,256.0,False
9914,439.0,0.0,439.0,False
9915,0.0,481.8,438.0,True
9916,480.0,0.0,480.0,False
9917,279.0,0.0,279.0,False
9918,431.0,0.0,431.0,False
9919,416.0,0.0,416.0,False
9920,0.0,350.0,322.0,True
9921,0.0,1459.7,1327.0,True
9922,0.0,523.6,476.0,True
9923,0.0,466.0,466.0,True
9924,0.0,151.8,138.0,True
9925,0.0,80.0,80.0,True
9926,0.0,72.0,72.0,True
9927,0.0,94.6,86.0,True
9928,0.0,743.0,743.0,True
9929,0.0,955.0,955.0,True
9930,0.0,331.1,301.0,True
9931,31.0,0.0,31.0,False
9932,214.0,0.0,214.0,False
9933,0.0,278.3,242.0,True
9934,0.0,368.5,335.0,True
9935,386.0,0.0,386.0,False
9936,476.0,0.0,476.0,False
9937,0.0,309.1,281.0,True
9938,172.0,0.0,172.0,False
9939,0.0,96.0,96.0,True
9940,0.0,563.5,490.0,True
9941,0.0,691.9,629.0,True
9942,0.0,129.0,129.0,True
9943,433.0,0.0,433.0,False
9944,0.0,425.0,425.0,True
9945,0.0,740.3,673.0,True
9946,122.0,0.0,122.0,False
9949,386.0,0.0,386.0,False
9947,0.0,478.5,435.0,True
9948,0.0,88.0,80.0,True
9950,0.0,443.3,403.0,True
9951,45.0,300.0,345.0,True
9952,0.0,517.0,470.0,True
9953,0.0,542.85,517.0,True
9954,250.0,0.0,250.0,False
9955,0.0,273.0,273.0,True
9956,592.0,0.0,592.0,False
9957,405.0,0.0,405.0,False
9958,223.0,0.0,223.0,False
9959,0.0,140.0,140.0,True
9960,0.0,412.0,412.0,True
9961,437.0,0.0,437.0,False
9962,0.0,603.0,603.0,True
9963,0.0,468.0,468.0,True
9964,249.0,0.0,249.0,False
9965,107.0,0.0,107.0,False
