folio,efectivo,tarjeta,total,facturado
6817,6.0000,0.0000,6.0000,False
6818,20.0000,0.0000,20.0000,False
6819,0.0000,104.0000,104.0000,True
6820,7.0000,41.0000,48.0000,True
6822,286.0000,452.1000,697.0000,True
6821,0.0000,6.0000,6.0000,True
6823,9.0000,0.0000,9.0000,False
6824,12.0000,0.0000,12.0000,False
6825,6.0000,0.0000,6.0000,False
6826,12.0000,0.0000,12.0000,False
6827,0.0000,195.8000,178.0000,True
6828,0.0000,96.0000,96.0000,True
6829,281.0000,0.0000,281.0000,False
6830,0.0000,137.0000,137.0000,True
6831,40.0000,0.0000,40.0000,False
6832,60.0000,0.0000,60.0000,False
6833,0.0000,713.0000,713.0000,True
6834,75.0000,0.0000,75.0000,False
6835,172.0000,0.0000,172.0000,False
6836,0.0000,481.8500,419.0000,True
6837,40.0000,0.0000,40.0000,False
6838,0.0000,316.8000,288.0000,True
6839,0.0000,427.9000,389.0000,True
6840,0.0000,331.0000,331.0000,True
6841,0.0000,309.1000,281.0000,True
6842,240.0000,0.0000,240.0000,False
6843,0.0000,599.5000,545.0000,True
6844,231.0000,0.0000,231.0000,True
6845,80.0000,0.0000,80.0000,False
6846,80.0000,0.0000,80.0000,False
6847,80.0000,0.0000,80.0000,False
6848,0.0000,410.3000,373.0000,True
6849,0.0000,197.0000,197.0000,True
6850,40.0000,0.0000,40.0000,False
6853,40.0000,0.0000,40.0000,False
6851,140.0000,722.0000,862.0000,True
6854,148.0000,0.0000,148.0000,False
6852,80.0000,0.0000,80.0000,False
6855,62.0000,0.0000,62.0000,False
6856,0.0000,86.1000,86.1000,True
6857,0.0000,177.1000,154.0000,True
6858,0.0000,130.0000,130.0000,True
6859,0.0000,537.9000,489.0000,True
6860,436.0000,636.4000,1025.0000,True
6861,0.0000,380.0000,355.0000,True
6862,80.0000,0.0000,80.0000,False
6863,40.0000,0.0000,40.0000,False
6864,80.0000,0.0000,80.0000,False
6865,0.0000,266.2000,242.0000,True
6866,47.6000,0.0000,47.6000,False
6867,80.0000,0.0000,80.0000,False
6868,80.0000,0.0000,80.0000,False
6869,80.0000,0.0000,80.0000,False
6870,20.0000,0.0000,20.0000,False
6871,40.0000,0.0000,40.0000,False
6872,20.0000,0.0000,20.0000,False
6873,40.0000,0.0000,40.0000,False
6874,83.0000,0.0000,83.0000,False
6875,98.0000,0.0000,98.0000,False
6876,0.0000,49.0000,49.0000,True
6877,0.0000,520.3000,473.0000,True
6878,80.0000,0.0000,80.0000,False
6879,0.0000,56.0000,56.0000,True
6880,0.0000,242.0000,242.0000,True
6882,40.0000,0.0000,40.0000,False
6881,0.0000,492.8000,448.0000,True
6883,0.0000,360.8000,328.0000,True
6884,0.0000,505.0000,505.0000,True
6885,70.0000,0.0000,70.0000,False
6886,40.0000,0.0000,40.0000,False
6888,173.0000,0.0000,173.0000,False
6887,0.0000,452.0000,452.0000,True
6889,0.0000,284.9000,259.0000,True
6890,0.0000,73.7000,67.0000,True
6891,80.0000,0.0000,80.0000,False
6892,0.0000,328.9000,299.0000,True
6893,0.0000,1438.6500,1251.0000,True
6894,98.0000,70.0000,168.0000,True
6895,0.0000,300.0000,300.0000,True
6896,80.0000,0.0000,80.0000,False
6897,0.0000,638.0000,580.0000,True
6898,0.0000,258.0000,238.0000,True
6899,159.0000,0.0000,159.0000,False
6900,130.0000,0.0000,130.0000,False
6902,80.0000,0.0000,80.0000,False
6901,0.0000,141.0000,141.0000,True
6903,0.0000,594.0000,540.0000,True
6904,40.0000,0.0000,40.0000,False
6906,40.0000,0.0000,40.0000,False
6905,150.0000,0.0000,150.0000,False
6907,0.0000,442.0000,442.0000,True
6908,35.0000,0.0000,35.0000,False
6909,31.5000,0.0000,31.5000,False
6910,20.0000,0.0000,20.0000,False
6911,80.0000,0.0000,80.0000,False
6912,40.0000,0.0000,40.0000,False
6913,80.0000,0.0000,80.0000,False
6914,0.0000,242.0000,220.0000,True
6915,0.0000,38.0000,38.0000,True
6916,80.0000,0.0000,80.0000,False
6917,0.0000,94.0000,94.0000,True
6918,20.0000,0.0000,20.0000,False
6919,0.0000,6.0000,6.0000,True
6920,70.0000,0.0000,70.0000,False
6921,0.0000,903.0000,853.0000,True
6922,153.0000,135.3000,276.0000,True
6923,6.0000,0.0000,6.0000,False
6926,0.0000,399.3000,363.0000,True
6924,150.0000,0.0000,150.0000,False
6925,0.0000,70.0000,64.0000,True
6928,200.0000,0.0000,200.0000,False
6927,0.0000,223.3000,203.0000,True
6929,6.0000,0.0000,6.0000,False
6930,16.0000,0.0000,16.0000,False
6931,6.0000,0.0000,6.0000,False
6932,40.0000,0.0000,40.0000,False
6933,0.0000,262.0000,228.0000,True
6934,80.0000,0.0000,80.0000,False
6935,80.0000,0.0000,80.0000,False
6936,80.0000,0.0000,80.0000,False
6937,0.0000,199.1000,181.0000,True
6938,0.0000,82.0000,82.0000,True
6939,6.0000,0.0000,6.0000,False
6940,20.0000,0.0000,20.0000,False
6941,80.0000,0.0000,80.0000,False
6942,41.0000,0.0000,41.0000,False
6943,0.0000,155.1000,141.0000,True
6944,104.0000,0.0000,104.0000,False
6946,80.0000,0.0000,80.0000,False
6945,0.0000,168.0000,148.0000,True
6947,0.0000,132.0000,120.0000,True
6948,147.0000,0.0000,147.0000,False
6950,0.0000,200.0000,188.0000,True
6949,193.0000,0.0000,193.0000,False
6951,0.0000,353.1000,321.0000,True
6952,49.0000,0.0000,49.0000,False
6954,103.0000,0.0000,103.0000,False
6953,0.0000,202.4000,184.0000,True
6955,0.0000,519.2000,472.0000,True
6956,200.0000,0.0000,200.0000,False
6957,0.0000,517.0000,517.0000,True
6958,123.0000,0.0000,123.0000,False
6960,80.0000,0.0000,80.0000,False
6959,279.5000,0.0000,129.5000,False
6961,40.0000,0.0000,40.0000,False
6962,0.0000,124.0000,124.0000,True
6963,0.0000,70.0000,70.0000,True
6964,0.0000,132.0000,132.0000,True
6965,265.0000,0.0000,265.0000,False
6966,80.0000,0.0000,80.0000,False
6967,0.0000,1282.0000,1132.0000,True
6968,0.0000,443.9000,386.0000,True
6969,80.0000,0.0000,80.0000,False
6972,250.0000,330.0000,527.0000,True
6970,40.0000,0.0000,40.0000,False
6971,0.0000,608.3000,553.0000,True
6973,80.0000,0.0000,80.0000,False
6974,0.0000,80.0000,80.0000,True
6975,0.0000,512.6000,466.0000,True
6976,80.0000,0.0000,80.0000,False
6977,40.0000,0.0000,40.0000,False
6978,40.0000,0.0000,40.0000,False
6979,0.0000,655.5000,570.0000,True
6980,0.0000,105.6000,96.0000,True
6981,0.0000,355.3000,323.0000,True
6982,0.0000,637.0000,579.0000,True
6983,0.0000,138.0000,108.0000,True
6984,80.0000,0.0000,80.0000,False
6985,0.0000,489.5000,445.0000,True
6986,0.0000,432.3000,393.0000,True
6987,176.0000,0.0000,176.0000,False
6988,40.0000,0.0000,40.0000,False
6989,0.0000,100.0000,84.0000,True
6990,0.0000,357.5000,325.0000,True
6991,55.0000,0.0000,55.0000,False
