folio,efectivo,tarjeta,total,facturado
6819,0.0,104.0,104.0000,True
6821,0.0,6.0,6.0000,True
6827,0.0,195.8,178.0000,True
6828,0.0,96.0,96.0000,True
6830,0.0,137.0,137.0000,True
6833,0.0,713.0,713.0000,True
6836,0.0,481.85,419.0000,True
6838,0.0,316.8,288.0000,True
6839,0.0,427.9,389.0000,True
6840,0.0,331.0,331.0000,True
6841,0.0,309.1,281.0000,True
6843,0.0,599.5,545.0000,True
6848,0.0,410.3,373.0000,True
6849,0.0,197.0,197.0000,True
6856,0.0,86.1,86.1000,True
6857,0.0,177.1,154.0000,True
6858,0.0,130.0,130.0000,True
6859,0.0,537.9,489.0000,True
6861,0.0,380.0,355.0000,True
6865,0.0,266.2,242.0000,True
6876,0.0,49.0,49.0000,True
6877,0.0,520.3,473.0000,True
6879,0.0,56.0,56.0000,True
6880,0.0,242.0,242.0000,True
6881,0.0,492.8,448.0000,True
6883,0.0,360.8,328.0000,True
6884,0.0,505.0,505.0000,True
6887,0.0,452.0,452.0000,True
6889,0.0,284.9,259.0000,True
6890,0.0,73.7,67.0000,True
6892,0.0,328.9,299.0000,True
6893,0.0,1438.65,1251.0000,True
6895,0.0,300.0,300.0000,True
6897,0.0,638.0,580.0000,True
6898,0.0,258.0,238.0000,True
6901,0.0,141.0,141.0000,True
6903,0.0,594.0,540.0000,True
6907,0.0,442.0,442.0000,True
6914,0.0,242.0,220.0000,True
6915,0.0,38.0,38.0000,True
6917,0.0,94.0,94.0000,True
6919,0.0,6.0,6.0000,True
6921,0.0,903.0,853.0000,True
6926,0.0,399.3,363.0000,True
6925,0.0,70.0,64.0000,True
6927,0.0,223.3,203.0000,True
6933,0.0,262.0,228.0000,True
6937,0.0,199.1,181.0000,True
6938,0.0,82.0,82.0000,True
6943,0.0,155.1,141.0000,True
6945,0.0,168.0,148.0000,True
6947,0.0,132.0,120.0000,True
6950,0.0,200.0,188.0000,True
6951,0.0,353.1,321.0000,True
6953,0.0,202.4,184.0000,True
6955,0.0,519.2,472.0000,True
6957,0.0,517.0,517.0000,True
6962,0.0,124.0,124.0000,True
6963,0.0,70.0,70.0000,True
6964,0.0,132.0,132.0000,True
6967,0.0,1282.0,1132.0000,True
6968,0.0,443.9,386.0000,True
6971,0.0,608.3,553.0000,True
6974,0.0,80.0,80.0000,True
6975,0.0,512.6,466.0000,True
6979,0.0,655.5,570.0000,True
6980,0.0,105.6,96.0000,True
6981,0.0,355.3,323.0000,True
6982,0.0,637.0,579.0000,True
6983,0.0,138.0,108.0000,True
6985,0.0,489.5,445.0000,True
6986,0.0,432.3,393.0000,True
6989,0.0,100.0,84.0000,True
6990,0.0,357.5,325.0000,True
