folio,efectivo,tarjeta,total,facturado
6817,6.0,0.0,6.0000,False
6818,20.0,0.0,20.0000,False
6823,9.0,0.0,9.0000,False
6824,12.0,0.0,12.0000,False
6825,6.0,0.0,6.0000,False
6826,12.0,0.0,12.0000,False
6829,281.0,0.0,281.0000,False
6831,40.0,0.0,40.0000,False
6832,60.0,0.0,60.0000,False
6834,75.0,0.0,75.0000,False
6835,172.0,0.0,172.0000,False
6837,40.0,0.0,40.0000,False
6842,240.0,0.0,240.0000,False
6845,80.0,0.0,80.0000,False
6846,80.0,0.0,80.0000,False
6847,80.0,0.0,80.0000,False
6850,40.0,0.0,40.0000,False
6853,40.0,0.0,40.0000,False
6854,148.0,0.0,148.0000,False
6852,80.0,0.0,80.0000,False
6855,62.0,0.0,62.0000,False
6862,80.0,0.0,80.0000,False
6863,40.0,0.0,40.0000,False
6864,80.0,0.0,80.0000,False
6866,47.6,0.0,47.6000,False
6867,80.0,0.0,80.0000,False
6868,80.0,0.0,80.0000,False
6869,80.0,0.0,80.0000,False
6870,20.0,0.0,20.0000,False
6871,40.0,0.0,40.0000,False
6872,20.0,0.0,20.0000,False
6873,40.0,0.0,40.0000,False
6874,83.0,0.0,83.0000,False
6875,98.0,0.0,98.0000,False
6878,80.0,0.0,80.0000,False
6882,40.0,0.0,40.0000,False
6885,70.0,0.0,70.0000,False
6886,40.0,0.0,40.0000,False
6888,173.0,0.0,173.0000,False
6891,80.0,0.0,80.0000,False
6896,80.0,0.0,80.0000,False
6899,159.0,0.0,159.0000,False
6900,130.0,0.0,130.0000,False
6902,80.0,0.0,80.0000,False
6904,40.0,0.0,40.0000,False
6906,40.0,0.0,40.0000,False
6905,150.0,0.0,150.0000,False
6908,35.0,0.0,35.0000,False
6909,31.5,0.0,31.5000,False
6910,20.0,0.0,20.0000,False
6911,80.0,0.0,80.0000,False
6912,40.0,0.0,40.0000,False
6913,80.0,0.0,80.0000,False
6916,80.0,0.0,80.0000,False
6918,20.0,0.0,20.0000,False
6920,70.0,0.0,70.0000,False
6923,6.0,0.0,6.0000,False
6924,150.0,0.0,150.0000,False
6928,200.0,0.0,200.0000,False
6929,6.0,0.0,6.0000,False
6930,16.0,0.0,16.0000,False
6931,6.0,0.0,6.0000,False
6932,40.0,0.0,40.0000,False
6934,80.0,0.0,80.0000,False
6935,80.0,0.0,80.0000,False
6936,80.0,0.0,80.0000,False
6939,6.0,0.0,6.0000,False
6940,20.0,0.0,20.0000,False
6941,80.0,0.0,80.0000,False
6942,41.0,0.0,41.0000,False
6944,104.0,0.0,104.0000,False
6946,80.0,0.0,80.0000,False
6948,147.0,0.0,147.0000,False
6949,193.0,0.0,193.0000,False
6952,49.0,0.0,49.0000,False
6954,103.0,0.0,103.0000,False
6956,200.0,0.0,200.0000,False
6958,123.0,0.0,123.0000,False
6960,80.0,0.0,80.0000,False
6959,279.5,0.0,129.5000,False
6961,40.0,0.0,40.0000,False
6965,265.0,0.0,265.0000,False
6966,80.0,0.0,80.0000,False
6969,80.0,0.0,80.0000,False
6970,40.0,0.0,40.0000,False
6973,80.0,0.0,80.0000,False
6976,80.0,0.0,80.0000,False
6977,40.0,0.0,40.0000,False
6978,40.0,0.0,40.0000,False
6984,80.0,0.0,80.0000,False
6987,176.0,0.0,176.0000,False
6988,40.0,0.0,40.0000,False
6991,55.0,0.0,55.0000,False
