folio,efectivo,tarjeta,total,facturado
10166,80.0,0.0,80.0,False
10167,0.0,337.7,307.0,False
10173,80.0,0.0,80.0,False
10168,0.0,0.0,0.0,False
10169,6.0,0.0,6.0,False
10170,0.0,270.49,245.9,False
10171,6.0,0.0,6.0,False
10172,6.0,0.0,6.0,False
10174,6.0,0.0,6.0,False
10175,16.0,0.0,16.0,False
10176,0.0,413.6,376.0,False
10177,80.0,0.0,80.0,False
10178,6.0,0.0,6.0,False
10179,80.0,0.0,80.0,False
10180,40.0,0.0,40.0,False
10181,0.0,366.3,333.0,False
10183,0.0,645.7,587.0,False
10182,0.0,462.0,420.0,False
10184,40.0,0.0,40.0,False
10185,3.0,0.0,3.0,False
10186,40.0,0.0,40.0,False
10187,80.0,0.0,80.0,False
10188,184.0,209.0,374.0,False
10189,255.0,562.1,766.0,False
10190,0.0,657.8,598.0,False
10191,0.0,777.0,777.0,False
10192,0.0,424.6,386.0,False
10194,0.0,202.0,202.0,False
10193,80.0,0.0,80.0,False
10195,0.0,466.0,466.0,False
10198,40.0,0.0,40.0,False
10196,0.0,425.7,387.0,False
10200,80.0,0.0,80.0,False
10197,0.0,301.0,301.0,False
10199,40.0,0.0,40.0,False
10201,0.0,272.8,248.0,False
10202,0.0,429.0,390.0,False
10203,43.0,0.0,43.0,False
10205,80.0,0.0,80.0,False
10204,0.0,528.0,480.0,False
10207,80.0,0.0,80.0,False
10206,80.0,0.0,80.0,False
10212,0.0,230.0,230.0,False
10208,0.0,830.0,822.0,False
10209,80.0,0.0,80.0,False
10210,0.0,122.0,122.0,False
10211,0.0,116.0,116.0,False
10213,80.0,0.0,80.0,False
10214,0.0,306.9,279.0,False
10215,0.0,430.1,391.0,False
10216,0.0,0.0,0.0,False
10217,0.0,24.5,24.5,False
10218,80.0,0.0,80.0,False
10220,0.0,181.5,165.0,False
10219,40.0,0.0,40.0,False
10221,80.0,0.0,80.0,False
10222,38.0,0.0,38.0,False
10223,0.0,886.6,806.0,False
10224,80.0,0.0,80.0,False
10226,0.0,138.6,126.0,False
10225,0.0,381.7,347.0,False
10227,80.0,0.0,80.0,False
10228,0.0,304.0,304.0,False
10229,0.0,467.5,425.0,False
10230,40.0,0.0,40.0,False
10231,80.0,0.0,80.0,False
10232,0.0,875.0,875.0,False
10234,0.0,393.8,358.0,False
10233,0.0,632.0,632.0,True
10235,40.0,0.0,40.0,False
10236,0.0,932.8,848.0,False
10238,0.0,330.0,300.0,False
10237,0.0,325.6,296.0,False
10239,0.0,351.0,351.0,False
10240,0.0,323.15,281.0,False
10241,0.0,282.0,282.0,False
10242,80.0,0.0,80.0,False
10243,0.0,0.0,0.0,False
10244,0.0,184.8,168.0,False
10245,0.0,345.4,314.0,False
10246,0.0,286.0,260.0,False
10247,0.0,503.7,438.0,False
10248,254.0,165.0,404.0,False
10249,54.0,0.0,54.0,False
10250,40.0,0.0,40.0,False
10251,119.7,0.0,119.7,False
10252,40.0,0.0,40.0,False
10253,40.0,0.0,40.0,False
10254,0.0,564.3,513.0,False
10257,0.0,386.1,351.0,False
10255,0.0,782.1,711.0,False
10256,0.0,498.0,498.0,False
10259,0.0,551.1,501.0,False
10258,509.0,1125.0,1634.0,False
10260,0.0,340.0,340.0,False
10261,40.0,0.0,40.0,False
10262,0.0,372.5,360.0,False
10263,0.0,150.0,150.0,False
10264,80.0,0.0,80.0,False
10265,40.0,0.0,40.0,False
10266,0.0,248.6,226.0,False
10267,6.0,0.0,6.0,False
10268,0.0,529.1,481.0,False
10269,0.0,406.0,406.0,False
10271,40.0,0.0,40.0,False
10270,80.0,0.0,80.0,False
10272,0.0,586.0,586.0,False
10273,0.0,195.8,178.0,False
10274,0.0,899.0,899.0,False
10276,6.0,0.0,6.0,False
10275,80.0,0.0,80.0,False
10277,40.0,0.0,40.0,False
10278,80.0,0.0,80.0,False
10279,0.0,361.0,361.0,False
10280,0.0,262.9,239.0,False
10282,80.0,0.0,80.0,False
10283,0.0,718.0,718.0,False
10281,80.0,0.0,80.0,False
10284,0.0,564.0,504.0,False
10287,40.0,0.0,40.0,False
10285,80.0,0.0,80.0,False
10286,40.0,0.0,40.0,False
10288,0.0,348.0,348.0,False
10289,14.0,0.0,14.0,False
10290,0.0,163.9,149.0,False
10291,0.0,183.7,167.0,False
10292,80.0,0.0,80.0,False
10293,0.0,566.5,515.0,False
10294,40.0,0.0,40.0,False
10295,0.0,772.8,672.0,False
10296,40.0,0.0,40.0,False
10297,0.0,555.5,505.0,False
10298,40.0,0.0,40.0,False
10299,40.0,0.0,40.0,False
10300,0.0,1052.7,1017.0,False
10301,80.0,0.0,80.0,False
10302,0.0,539.0,490.0,False
10303,80.0,0.0,80.0,False
10304,68.6,0.0,68.6,False
10309,0.0,148.5,135.0,False
10305,0.0,0.0,0.0,False
10306,75.0,0.0,75.0,False
10307,0.0,332.0,301.0,False
10308,0.0,1263.0,1263.0,True
10310,168.0,288.0,456.0,False
10312,0.0,545.6,496.0,False
10311,80.0,0.0,80.0,False
10313,0.0,349.0,349.0,False
10314,40.0,0.0,40.0,False
10315,80.0,0.0,80.0,False
10316,80.0,0.0,80.0,False
10317,0.0,811.8,738.0,False
10318,80.0,0.0,80.0,False
10320,0.0,412.0,374.0,False
10319,80.0,0.0,80.0,False
10321,0.0,0.0,0.0,False
10322,80.0,0.0,80.0,False
10326,40.0,0.0,40.0,False
10327,40.0,0.0,40.0,False
10323,40.0,0.0,40.0,False
10324,0.0,562.1,511.0,False
10325,80.0,0.0,80.0,False
10328,0.0,227.7,207.0,False
10329,70.0,0.0,70.0,False
10330,0.0,1021.9,929.0,False
10331,0.0,0.0,0.0,False
10332,80.0,0.0,80.0,False
10333,40.0,0.0,40.0,False
10334,0.0,274.0,274.0,False
10335,80.0,0.0,80.0,False
10336,0.0,145.0,145.0,False
10340,40.0,0.0,40.0,False
10337,85.0,0.0,85.0,False
10342,0.0,192.5,175.0,False
10338,0.0,400.0,370.0,False
10339,40.0,0.0,40.0,False
10341,40.0,0.0,40.0,False
10343,80.0,0.0,80.0,False
10344,80.0,0.0,80.0,False
10345,80.0,0.0,80.0,False
10346,80.0,0.0,80.0,False
10347,70.0,0.0,70.0,False
10353,0.0,256.3,233.0,False
10348,80.0,0.0,80.0,False
10349,0.0,353.0,353.0,False
10350,80.0,0.0,80.0,False
10351,0.0,303.0,303.0,False
10352,80.0,0.0,80.0,False
10354,0.0,52.5,52.5,False
10355,0.0,57.0,57.0,False
10356,40.0,0.0,40.0,False
10357,0.0,0.0,0.0,False
10358,0.0,135.5,135.5,False
10359,80.0,0.0,80.0,False
10365,40.0,0.0,40.0,False
10360,0.0,512.0,465.0,False
10361,0.0,109.0,99.0,False
10362,25.0,0.0,25.0,False
10363,0.0,171.6,156.0,False
10364,0.0,426.8,388.0,False
10367,0.0,359.7,327.0,False
10366,80.0,0.0,80.0,False
10368,0.0,231.0,210.0,False
10369,0.0,318.0,318.0,False
10370,80.0,0.0,80.0,False
10371,80.0,0.0,80.0,False
10372,6.0,0.0,6.0,False
10373,40.0,0.0,40.0,False
10374,80.0,0.0,80.0,False
10375,0.0,239.2,208.0,False
10376,40.0,0.0,40.0,False
10377,40.0,0.0,40.0,False
10378,0.0,682.0,620.0,False
10379,116.0,0.0,116.0,False
10380,0.0,654.5,595.0,False
10381,80.0,0.0,80.0,False
10382,0.0,267.0,242.0,False
10383,80.0,0.0,80.0,False
10384,80.0,0.0,80.0,False
10385,0.0,489.0,489.0,False
10386,80.0,0.0,80.0,False
10387,0.0,688.0,688.0,False
10388,0.0,368.5,335.0,False
10389,80.0,0.0,80.0,False
10391,0.0,338.8,308.0,False
10390,80.0,0.0,80.0,False
10392,40.0,0.0,40.0,False
10393,40.0,0.0,40.0,False
10394,40.0,0.0,40.0,False
10395,0.0,364.1,331.0,False
10396,8.0,0.0,8.0,False
10397,0.0,322.3,293.0,False
10398,0.0,213.4,194.0,False
10399,40.0,0.0,40.0,False
10400,40.0,0.0,40.0,False
10401,0.0,206.8,206.8,False
10403,0.0,580.8,528.0,False
10402,40.0,0.0,40.0,False
10404,40.0,0.0,40.0,False
10405,80.0,0.0,80.0,False
10406,0.0,312.4,284.0,False
10407,80.0,0.0,80.0,False
10408,0.0,454.3,413.0,False
10409,80.0,0.0,80.0,False
10410,0.0,232.1,211.0,False
10411,0.0,124.3,113.0,False
10412,80.0,0.0,80.0,False
10413,80.0,0.0,80.0,False
10414,40.0,0.0,40.0,False
10415,40.0,0.0,40.0,False
